City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,colonia,50.9333,6.95,287.02,53,0,5.14,DE,1709402721
1,papatowai,-46.5619,169.4708,282.61,83,68,4.72,NZ,1709402723
2,arraial do cabo,-22.9661,-42.0278,303.13,65,0,6.69,BR,1709402724
3,waitangi,-43.9535,-176.5597,287.49,96,100,0.89,NZ,1709402725
4,hawaiian paradise park,19.5933,-154.9731,294.76,86,0,2.57,US,1709402726
5,ushuaia,-54.8,-68.3,282.96,71,40,12.86,AR,1709402727
6,bethel,41.3712,-73.414,281.35,78,100,2.73,US,1709402728
7,lesnoy,57.6198,63.0784,270.96,92,100,3.96,RU,1709402728
8,yellowknife,62.456,-114.3525,244.49,76,20,6.71,CA,1709402730
9,duki,30.1541,68.5728,277.48,41,0,1.01,PK,1709402730
10,port lincoln,-34.7333,135.8667,288.66,78,4,5.79,AU,1709402741
11,bredasdorp,-34.5322,20.0403,292.03,83,100,5.36,ZA,1709402752
12,aasiaat,68.7098,-52.8699,267.95,89,77,7.0,GL,1709402753
13,lompoc,34.6391,-120.4579,287.33,67,100,5.14,US,1709402752
14,port-aux-francais,-49.35,70.2167,277.24,97,100,10.22,TF,1709402755
15,betio village,1.358,172.9211,301.17,81,94,6.7,KI,1709402755
16,bopolu,7.0667,-10.4875,305.65,44,99,4.22,LR,1709402758
17,montevideo,-34.8335,-56.1674,293.16,94,75,3.6,UY,1709402548
18,blackmans bay,-43.0167,147.3167,288.56,67,100,1.34,AU,1709402761
19,clinton,42.587,-82.9199,283.55,69,100,4.12,US,1709402762
20,port elizabeth,-33.918,25.5701,295.43,85,75,5.66,ZA,1709402763
21,tuyen quang,21.8233,105.2181,284.79,73,16,0.69,VN,1709402764
22,puerto ayora,-0.7393,-90.3518,303.13,89,17,4.02,EC,1709402765
23,edinburgh of the seven seas,-37.0676,-12.3116,289.63,70,75,8.47,SH,1709402766
24,adamstown,-25.066,-130.1015,298.38,74,100,4.15,PN,1709402767
25,taroa,8.7058,171.2275,300.24,83,100,9.99,MH,1709402767
26,flying fish cove,-10.4217,105.6791,299.97,89,100,0.51,CX,1709402768
27,szentlorinc,46.0402,17.9872,285.64,76,42,1.9,HU,1709402769
28,luena,-11.7833,19.9167,297.25,69,89,2.06,AO,1709402770
29,mahina,-17.5065,-149.489,303.02,70,75,1.54,PF,1709402772
30,hasaki,35.7333,140.8333,274.37,52,100,4.95,JP,1709402773
31,hobyo,5.3505,48.5268,300.4,83,88,6.7,SO,1709402774
32,aykhal,66.0,111.5,250.81,100,100,1.85,RU,1709402775
33,ust-nera,64.5667,143.2,250.97,99,100,2.54,RU,1709402776
34,trincomalee,8.5711,81.2335,299.8,77,90,4.21,LK,1709402777
35,sandnessjoen,66.0217,12.6316,276.44,79,97,5.7,NO,1709402778
36,anadyr,64.75,177.4833,260.43,85,100,12.0,RU,1709402490
37,acarau,-2.8856,-40.12,301.83,74,54,4.65,BR,1709402480
38,mossel bay,-34.1831,22.146,294.11,76,41,1.36,ZA,1709402780
39,lerwick,60.1545,-1.1494,279.15,78,99,9.39,GB,1709402781
40,mweka,-4.85,21.5667,295.09,87,100,0.98,CD,1709402782
41,lebu,-37.6167,-73.65,289.48,65,0,10.09,CL,1709402783
42,oranjemund,-28.55,16.4333,290.42,94,11,3.18,NA,1709402784
43,huntsville,34.7304,-86.5861,289.05,80,100,1.54,US,1709402700
44,new norfolk,-42.7826,147.0587,289.22,77,100,6.41,AU,1709402787
45,port alfred,-33.5906,26.891,293.81,88,65,0.89,ZA,1709402788
46,banda aceh,5.5577,95.3222,299.65,82,100,3.21,ID,1709402789
47,udachny,66.4167,112.4,251.39,100,100,1.81,RU,1709402790
48,parnu,58.3859,24.4971,274.2,100,20,2.57,EE,1709402791
49,lionel town,17.8101,-77.2406,302.09,57,35,5.7,JM,1709402792
50,atafu village,-8.5421,-172.5159,302.14,80,41,7.31,TK,1709402793
51,queenstown,-31.8976,26.8753,291.93,84,62,1.86,ZA,1709402794
52,cozumel,20.5083,-86.9458,303.12,80,4,3.58,MX,1709402507
53,itamaraca,-7.7478,-34.8256,305.18,70,65,4.75,BR,1709402796
54,vilyuchinsk,52.9306,158.4028,266.3,85,94,3.66,RU,1709402797
55,al ahmadi,29.0769,48.0839,290.5,57,1,4.19,KW,1709402534
56,grytviken,-54.2811,-36.5092,279.72,74,98,4.01,GS,1709402798
57,cabo san lucas,22.8909,-109.9124,300.71,44,40,3.09,MX,1709402799
58,college,64.8569,-147.8028,242.84,67,0,0.0,US,1709402801
59,chonchi,-42.6128,-73.8092,289.71,40,11,0.97,CL,1709402562
60,impfondo,1.6381,18.0667,298.23,81,98,1.19,CG,1709402803
61,mil'kovo,55.6078,37.7956,274.37,92,100,3.12,RU,1709402803
62,longyearbyen,78.2186,15.6401,264.06,79,75,3.09,SJ,1709402804
63,masaka,-0.3338,31.7341,294.32,73,67,0.95,UG,1709402805
64,invercargill,-46.4,168.35,282.6,91,44,1.79,NZ,1709402806
65,sosnovo-ozerskoye,52.5249,111.5418,245.63,100,41,0.64,RU,1709402807
66,maudaha,25.6833,80.1167,292.2,78,93,5.75,IN,1709402808
67,qaqortoq,60.7167,-46.0333,266.4,78,100,2.29,GL,1709402809
68,tuy hoa,13.0833,109.3,295.39,92,77,2.72,VN,1709402810
69,mo i rana,66.3128,14.1428,278.41,65,0,3.09,NO,1709402810
70,karratha,-20.7377,116.8463,301.55,70,19,5.02,AU,1709402811
71,kassala,15.451,36.4,304.56,13,77,3.58,SD,1709402812
72,urangan,-25.3,152.9,299.93,83,25,3.13,AU,1709402813
73,walvis bay,-22.9575,14.5053,291.53,79,23,7.18,NA,1709402554
74,holualoa,19.6228,-155.9522,293.06,85,40,2.57,US,1709402815
75,tolanaro,-25.0319,46.9987,297.92,84,1,4.99,MG,1709402816
76,san patricio,28.017,-97.5169,296.57,73,85,2.1,US,1709402816
77,puerto natales,-51.7236,-72.4875,282.4,49,75,11.32,CL,1709402817
78,padangsidempuan,1.3667,99.2667,295.82,99,100,1.08,ID,1709402819
79,juan griego,11.0817,-63.9655,302.22,65,86,6.17,VE,1709402820
80,tiksi,71.6872,128.8694,241.38,100,90,1.09,RU,1709402821
81,namtsy,62.7161,129.6658,249.18,98,100,1.61,RU,1709402823
82,jiangyou,31.7667,104.7167,280.46,76,98,0.43,CN,1709402824
83,martapura,-3.4167,114.85,299.2,100,75,2.06,ID,1709402824
84,kattivakkam,13.2167,80.3167,301.2,70,98,4.36,IN,1709402825
85,perth,-31.9333,115.8333,300.45,65,0,9.26,AU,1709402756
86,albany,42.6001,-73.9662,279.76,87,100,1.31,US,1709402827
87,muisne,0.6,-80.0333,299.57,79,100,1.23,EC,1709402828
88,maple glen,40.0156,-79.9767,284.74,94,100,1.61,US,1709402829
89,margaret river,-33.95,115.0667,294.47,81,83,1.75,AU,1709402709
90,tura,25.5198,90.2201,291.44,44,1,1.13,IN,1709402831
91,yuzhno-kurilsk,44.0306,145.8556,267.8,83,31,12.77,RU,1709402832
92,kodiak,57.79,-152.4072,268.88,42,0,7.2,US,1709402833
93,vorkuta,67.5,64.0,272.05,97,100,6.65,RU,1709402834
94,zhezqazghan,47.7833,67.7667,259.32,95,8,4.45,KZ,1709402834
95,iqaluit,63.7506,-68.5145,244.0,69,20,0.0,CA,1709402617
96,deltebre,40.7499,0.7868,288.37,56,99,11.32,ES,1709402836
97,gadzhiyevo,69.2551,33.3362,273.52,88,81,6.6,RU,1709402837
98,bairnsdale,-37.8333,147.6167,282.5,93,1,2.73,AU,1709402838
99,jakobstad,63.6749,22.7026,274.84,89,100,2.82,FI,1709402839
100,codrington,-38.2667,141.9667,284.99,79,6,4.18,AU,1709402840
101,stanley,54.868,-1.6985,278.92,95,75,7.2,GB,1709402840
102,magadan,59.5667,150.8,259.87,94,100,4.31,RU,1709402841
103,balaipungut,1.05,101.2833,297.21,97,99,1.34,ID,1709402842
104,aksu,41.1231,80.2644,276.11,45,95,1.54,CN,1709402843
105,lethem,3.3803,-59.7968,311.08,28,91,4.16,GY,1709402844
106,amal,59.051,12.7049,276.83,98,100,3.78,SE,1709402846
107,beryslav,46.8415,33.4284,279.0,60,100,4.17,UA,1709402847
108,mejit,10.2753,170.8646,299.84,81,73,10.72,MH,1709402848
109,ilulissat,69.2167,-51.1,276.16,44,75,7.2,GL,1709402849
110,myskhako,44.6714,37.7433,284.03,66,100,3.42,RU,1709402850
111,talnakh,69.4865,88.3972,261.6,94,99,5.31,RU,1709402851
112,igrim,63.1906,64.4162,270.09,91,100,3.44,RU,1709402851
113,enewetak,11.3474,162.3373,299.79,78,72,8.81,MH,1709402852
